comments,brand_name
Not yet tried but as listened they have good quality than others.,AlkaramStudios
Cooperative Staff,AlkaramStudios
Nice one location and available parking staff behavior is great,AlkaramStudios
Nice Place for shopping.,AlkaramStudios
Nice branch of Al Karam,AlkaramStudios
Great stuff nice collection,AlkaramStudios
Good place for shopping,AlkaramStudios
Wonderful design and collection both stiched and unstiched stuff,AlkaramStudios
Nice tool to find anything...,AlkaramStudios
Good and not too expensive,AlkaramStudios
This is an official franchise and all types of stuff and new Volumes are available.,AlkaramStudios
Superb place to shoping of clothing,AlkaramStudios
Best seller,AlkaramStudios
Nice clothing,AlkaramStudios
"Clothe store. Fixed prices, brand store",AlkaramStudios
Quite Great,AlkaramStudios
Amazing,AlkaramStudios
Nice,AlkaramStudios
Retail Store,AlkaramStudios
Best,AlkaramStudios
A nice place to shop,AlkaramStudios
"Good store, clothes for all age groups but more variety for persons less than 30 yrs, central location",Breakout
Nice place but not upto mark,Breakout
A good place for Kids shopping,Breakout
Good service. Normal quality of brand.,Breakout
"Staff is friendly, a little bit expensive",Breakout
Easy shopping,Breakout
All articles were not available. Stock was limited,Breakout
Good experience,Breakout
Excellent,Breakout
Exellent shoping place for ready made garments,Breakout
Not bad,Breakout
Good quality,Breakout
Good garments,Breakout
best store in the town.,Breakout
Amazing staff. Amazing clothing.,Breakout
Good quality of shirts and garments and also economical than other brands.,Breakout
Good place for ladies and gents stitch cloths,Breakout
A great brand with reasonable price with good quality,Breakout
"I had visited the outlet a weak before sale, suppose if a shirt was of 1000 than is now @ 800 & sale tag claiming 30% off... Does that make some sense???",Breakout
Nice Place for shopping,Breakout
Not much variety of jeans,Breakout
Fevourite brand,Breakout
Do shopping and save,Breakout
Nice,Breakout
Good shop,Breakout
Good,Breakout
Good,Breakout
Good but prices are a little bit high.,Charcol
GreAt place of shopping,Charcol
Awesome brand.. Good Quality,Charcol
"Love to visit charcoal outlet
Quality is always according to expectation",Charcol
Very High prices. Just a shirt for PKR 3600.,Charcol
Shirt quility is v good,Charcol
Flat off these days,Charcol
Limited edition,Charcol
A great brand for formal suiting specially this branch's staff behavior is really awesome.,Charcol
Products are well but some expensive,Charcol
Less variety as compared to other Charcoal outlet but manageable. Fairly priced and cooperative staff.,Charcol
In bwp charcoal has outdated stock photography,Charcol
"Excellent quality of fabric, stitching and design, but the prices have almost doubled as compared to last year.",Charcol
gentle man place,Charcol
Recommended for men's wear,Charcol
Fabric Quality is good. Nice if u r looking for formal suiting,Charcol
It was good as there was 20%sale,Charcol
Good quality clothing,Charcol
Quality is good but prices are also higher,Charcol
Quality and good stuff,Charcol
Charcoal is very nice brand. I think little bit costly.,Charcol
they have good fabric garments.,Charcol
There is no any contact number.,Charcol
Outclass,Charcol
Costly but Nice brand,Charcol
Nice for colthes,Charcol
A device store,Charcol
Good but expensive clothes,Charcol
Rates are very high.,Charcol
Nice formal dresses,Charcol
Nice Fabric Charcoal,Charcol
Nice shop,Charcol
Nice place.,Charcol
Too expensive suits,Charcol
good one,Charcol
Good,Charcol
Men clothing,Charcol
good,Charcol
Good in quality,Charcol
Super,Charcol
Good quality,Charcol
Good variety,Charcol
Brand wears very costly and fine,Charcol
Great,Charcol
An average shop,Charcol
Clothing,Charcol
Excellent,Charcol
Good,ChenOne
This was amazing place.,ChenOne
Good Mall...,ChenOne
It was one of my fav malls when it was growing to it's maturity,ChenOne
I found it better than many other shopping malls in the city even today and since its inauguration,ChenOne
Very nice store,ChenOne
Very supportive staff. Satisfied with dealing with customer.,ChenOne
Good store for kids dresses,ChenOne
one of my favorite brand..,ChenOne
You can get clothing and home decor on discounted prices,ChenOne
I liked this brand,ChenOne
Quality of shopping and great addition in the city and first chain of business,ChenOne
Best local brand with International standards. expensive one,ChenOne
It is a nice shopping area with decent atmosphere. The quality of garments is out class,ChenOne
"good place to shop
staff is cooperative",ChenOne
Good place for window shopping.,ChenOne
Good shopping point.,ChenOne
Ideal for whenever i need to park my car while on the go!,ChenOne
Not much productive store in terms of variety as compared to other outlets,ChenOne
I love this shop .all branded available,ChenOne
Amazing collection and quality products. My favorites place to shop,ChenOne
Nice shopping place,ChenOne
Good place for Shoping,ChenOne
"Well known clothing, bedding and furniture outlet. If you have lot of money to waste, you can waist here bcoz all the products here are so good. Prices are too much high even on 50% discount it seems higher.",ChenOne
It's ok,ChenOne
Good product but much expansive,ChenOne
Nice place,ChenOne
Nice place for shopping,ChenOne
Unnecessarily expensive,ChenOne
Nice place for shopping,ChenOne
Expensive but better stuff,ChenOne
Good,ChenOne
Good one!,ChenOne
Good place to have some shopping,ChenOne
Good to visit,ChenOne
Quality items and reasonable prices.,ChenOne
Good,ChenOne
Nice great,ChenOne
Good shoping place but expensive,ChenOne
Yeah its cool shopping there,ChenOne
Product are reliable but prices are too much high,ChenOne
Nice place for shopping related to required babay and families shopping,ChenOne
they are nice but not infirming about online orders.,ChenOne
Competitive and elegant setup,ChenOne
not good experience,ChenOne
Nice place. On Chen One brand atoms are availables.,ChenOne
Chen one was the first brands outlet mall in sargodha.  And now it is a shopping centre with almost all major clothing and other essential shops.  Mini so jas opened it's outlet recently.  A good place!,ChenOne
Good,ChenOne
"I dont know why this shop exist, i haven't heard any good thing about it. Even they didn't have sweaters and jackets in winter. But technology there is impressive",ChenOne
Too much expensive as compared to products value,ChenOne
Satisfied,ChenOne
This is the best shopping mall in bwp.,ChenOne
Best place for family shopping.,ChenOne
Great,ChenOne
Chenone is one of the most expensive and good brand,ChenOne
Great experience,ChenOne
Nice place,ChenOne
Great place with variety of options,ChenOne
nice collection for men dressing,ChenOne
Really Loved it,ChenOne
Good place,ChenOne
all the things are found here,ChenOne
The mall is soo good,ChenOne
"Good stuff, designs and variety",ChenOne
A reasonably good store of Chen one in bahawal pur,ChenOne
Prices are quite high for outfits though stuff is also compromised.,ChenOne
Very nice place for cloths shopping,ChenOne
"One the worst brand as per quality of the products , had bought some stuff from it but after a month it got faded, and upon asking they told sir this was in black colour and as you know black got faded.",ChenOne
A good place to shop nice quality Clothes and fashion stuff,ChenOne
Complete store all vriety,ChenOne
This brand is going down day by day in term of business,ChenOne
Very cheap,ChenOne
Mens wearing got too many choices,ChenOne
Quality,ChenOne
Bridal thing avialable in less price,ChenOne
Located in MTA increases the grace of city,ChenOne
gentle man choice,ChenOne
Nice place,ChenOne
Good for shopping of clothes and apperall,ChenOne
A good place to shop.,ChenOne
Nice things on discounted rates,ChenOne
Fabric and quality is outstanding,ChenOne
Side py hy baki brands k sth hona chaheay,ChenOne
Great opportunity for shopping,ChenOne
this shop is wonderfull,ChenOne
Posh shopping mall in Bahawalpur,ChenOne
Excellent,ChenOne
Awesome,ChenOne
Price high but quality is awesome,ChenOne
Nice shopping Mall with affordable prices.,ChenOne
Very good.  Best,ChenOne
Good store for shopping. Many brands available,ChenOne
Good place and we'll maintained outlet,ChenOne
Brand shop with good quality stuff.,ChenOne
They no variety compared to the branches of lahore and multan,ChenOne
I will not recomend,ChenOne
Good place for shopping,ChenOne
Shopping mall and best food available here,ChenOne
i had a good experience with this outlet. The staff was cooperative.,ChenOne
It is a good shopping mall.,ChenOne
Standard but high prices as compared to stuff and design,ChenOne
Great place. Good variety,ChenOne
Its really bad quality there now.,ChenOne
being a regular customer i visited Chen one with family 2 days ago and it turned into a shame when the stupid and drunk security guard humiliated me with his horrible and threatening attitude over  parking issue that was't my fault at all.,ChenOne
Good place for Shopping ,ChenOne
Average clothes and over priced. Sometimes quality is very bad.,ChenOne
"Good outlets,comapring the multan chenone tower",ChenOne
Good stuff but costly,ChenOne
Excellent Products,ChenOne
Best but ..... during 50% off,ChenOne
"Came with my family & i was refused entrance, they said ladies only, they said just wait outside. :(",ChenOne
Nice place,ChenOne
"Expensive, cheaper and better stuff is available on Other brands.",ChenOne
Nice shopping place,ChenOne
Good in the sale time,ChenOne
Superb place,ChenOne
experience,ChenOne
Good,ChenOne
Bahawalpur good shopping mall,ChenOne
Buy anything what you need,ChenOne
I did shopping a lot from here,ChenOne
Nice shop,ChenOne
Good place for shopping,ChenOne
Shoping,ChenOne
Nice but expensive,ChenOne
Not enough variety.,ChenOne
Best for quality products,ChenOne
Nice place for shopping,ChenOne
Wonderful,ChenOne
Poor dealing,ChenOne
Awesome,ChenOne
"A place of shopping brands cloth, Shoes, cosmetic etc but not for middle standard people.",ChenOne
Good entry,ChenOne
Very much price,ChenOne
No new designs,ChenOne
Nice collection,ChenOne
High price clothing shopping store,ChenOne
Little bit expensive,ChenOne
Good addition in Bahawalpur,ChenOne
"I found nothing which I wanted to buy.
There was less range and prices weren't suitable.",ChenOne
Its ok,ChenOne
Not economical,ChenOne
high Shopping center,ChenOne
Under one roof  quality,ChenOne
Cheneone outlet Bahawalpur,ChenOne
Moderate store and expensive,ChenOne
low cost products are useless.,ChenOne
Good store,ChenOne
Classy place,ChenOne
Much Expensive,ChenOne
Loved it.,ChenOne
Good,ChenOne
Brand all types clothing under one roof,ChenOne
Gud fir level shopping,ChenOne
good clothing,ChenOne
love shopping,ChenOne
Nice,ChenOne
Chen one has reduced their quality,ChenOne
Cool,ChenOne
Nyc for shopping,ChenOne
Good,ChenOne
Level up place for shopping,ChenOne
Shoping mall,ChenOne
Only for brand lovers,ChenOne
High prices,ChenOne
Brand shop,ChenOne
great,ChenOne
Best prices,ChenOne
Good,ChenOne
Good but costly,ChenOne
Nice,ChenOne
Just ok,ChenOne
Good,ChenOne
Good,ChenOne
Expensive,ChenOne
Nice,ChenOne
Shopping clothing,ChenOne
All in one,ChenOne
"it,s a good clothing brand for families.",ChenOne
There used to be variety in things that are no longer there.cost is too much. please improve all these.,ChenOne
"
Chenone is expensive but it never compromised quality.Good Products.
But they place a sale in the end of season brought good things.",ChenOne
Rate is enough,ChenOne
It is best,ChenOne
"
Over priced AF, useless collection",ChenOne
Great,ChenOne
Superb .. !!,ChenOne
"Visited to buy a neck scarf but they didn't have it. Still the attended was courteous enough to guide me to find a nearby store.
Accessibility is an issue but hopefully the attendees can help the visitors",Diners
It is nice place for shopping,Diners
"Very good verity and excellent collection .
But very expressive",Diners
It is one of the best shopping store where affordable prices reacable,Diners
It was good to visit and enjoy all suiting at nominal price,Diners
Staff was very responsive and forthcoming. Experience was very good. Strongly recommended.,Diners
