comments,brand_name,cleaned_comment,sentiment,date
Not yet tried but as listened they have good quality than others.,AlkaramStudios,not yet tried but as listened they have good quality than others,Positive,29/01/2024
Cooperative Staff,AlkaramStudios,cooperative staff,Neutral,10/01/2024
Nice one location and available parking staff behavior is great,AlkaramStudios,nice one location and available parking staff behavior is great,Positive,18/02/2024
Nice Place for shopping.,AlkaramStudios,nice place for shopping,Positive,18/02/2024
Nice branch of Al Karam,AlkaramStudios,nice branch of al karam,Positive,10/03/2024
Great stuff nice collection,AlkaramStudios,great stuff nice collection,Positive,22/03/2024
Good place for shopping,AlkaramStudios,good place for shopping,Positive,29/03/2024
Wonderful design and collection both stiched and unstiched stuff,AlkaramStudios,wonderful design and collection both stiched and unstiched stuff,Positive,17/02/2024
Nice tool to find anything...,AlkaramStudios,nice tool to find anything,Positive,01/03/2024
Good and not too expensive,AlkaramStudios,good and not too expensive,Positive,19/02/2024
This is an official franchise and all types of stuff and new Volumes are available.,AlkaramStudios,this is an official franchise and all types of stuff and new volumes are available,Positive,09/01/2024
Superb place to shoping of clothing,AlkaramStudios,superb place to shoping of clothing,Positive,12/03/2024
Best seller,AlkaramStudios,best seller,Positive,22/02/2024
Nice clothing,AlkaramStudios,nice clothing,Positive,13/01/2024
"Clothe store. Fixed prices, brand store",AlkaramStudios,clothe store fixed prices brand store,Positive,01/02/2024
Quite Great,AlkaramStudios,quite great,Positive,14/03/2024
Amazing,AlkaramStudios,amazing,Positive,19/02/2024
Nice,AlkaramStudios,nice,Positive,22/03/2024
Retail Store,AlkaramStudios,retail store,Neutral,26/03/2024
Best,AlkaramStudios,best,Positive,11/03/2024
A nice place to shop,AlkaramStudios,a nice place to shop,Positive,03/02/2024
"Good store, clothes for all age groups but more variety for persons less than 30 yrs, central location",Breakout,good store clothes for all age groups but more variety for persons less than yrs central location,Positive,22/03/2024
Nice place but not upto mark,Breakout,nice place but not upto mark,Positive,26/02/2024
A good place for Kids shopping,Breakout,a good place for kids shopping,Positive,09/02/2024
Good service. Normal quality of brand.,Breakout,good service normal quality of brand,Positive,14/03/2024
"Staff is friendly, a little bit expensive",Breakout,staff is friendly a little bit expensive,Negative,15/01/2024
Easy shopping,Breakout,easy shopping,Positive,06/03/2024
All articles were not available. Stock was limited,Breakout,all articles were not available stock was limited,Negative,09/01/2024
Good experience,Breakout,good experience,Positive,14/01/2024
Excellent,Breakout,excellent,Positive,25/03/2024
Exellent shoping place for ready made garments,Breakout,exellent shoping place for ready made garments,Positive,10/01/2024
Not bad,Breakout,not bad,Positive,13/03/2024
Good quality,Breakout,good quality,Positive,15/03/2024
Good garments,Breakout,good garments,Positive,04/01/2024
best store in the town.,Breakout,best store in the town,Positive,03/01/2024
Amazing staff. Amazing clothing.,Breakout,amazing staff amazing clothing,Positive,08/02/2024
Good quality of shirts and garments and also economical than other brands.,Breakout,good quality of shirts and garments and also economical than other brands,Positive,11/02/2024
Good place for ladies and gents stitch cloths,Breakout,good place for ladies and gents stitch cloths,Positive,20/02/2024
A great brand with reasonable price with good quality,Breakout,a great brand with reasonable price with good quality,Positive,13/02/2024
