comments,brand_name,cleaned_comment
Not yet tried but as listened they have good quality than others.,AlkaramStudios,not yet tried but as listened they have good quality than others
Cooperative Staff,AlkaramStudios,cooperative staff
Nice one location and available parking staff behavior is great,AlkaramStudios,nice one location and available parking staff behavior is great
Nice Place for shopping.,AlkaramStudios,nice place for shopping
Nice branch of Al Karam,AlkaramStudios,nice branch of al karam
Great stuff nice collection,AlkaramStudios,great stuff nice collection
Good place for shopping,AlkaramStudios,good place for shopping
Wonderful design and collection both stiched and unstiched stuff,AlkaramStudios,wonderful design and collection both stiched and unstiched stuff
Nice tool to find anything...,AlkaramStudios,nice tool to find anything
Good and not too expensive,AlkaramStudios,good and not too expensive
This is an official franchise and all types of stuff and new Volumes are available.,AlkaramStudios,this is an official franchise and all types of stuff and new volumes are available
Superb place to shoping of clothing,AlkaramStudios,superb place to shoping of clothing
Best seller,AlkaramStudios,best seller
Nice clothing,AlkaramStudios,nice clothing
"Clothe store. Fixed prices, brand store",AlkaramStudios,clothe store fixed prices brand store
Quite Great,AlkaramStudios,quite great
Amazing,AlkaramStudios,amazing
Nice,AlkaramStudios,nice
Retail Store,AlkaramStudios,retail store
Best,AlkaramStudios,best
A nice place to shop,AlkaramStudios,a nice place to shop
"Good store, clothes for all age groups but more variety for persons less than 30 yrs, central location",Breakout,good store clothes for all age groups but more variety for persons less than yrs central location
Nice place but not upto mark,Breakout,nice place but not upto mark
A good place for Kids shopping,Breakout,a good place for kids shopping
Good service. Normal quality of brand.,Breakout,good service normal quality of brand
"Staff is friendly, a little bit expensive",Breakout,staff is friendly a little bit expensive
Easy shopping,Breakout,easy shopping
All articles were not available. Stock was limited,Breakout,all articles were not available stock was limited
Good experience,Breakout,good experience
Excellent,Breakout,excellent
Exellent shoping place for ready made garments,Breakout,exellent shoping place for ready made garments
Not bad,Breakout,not bad
Good quality,Breakout,good quality
Good garments,Breakout,good garments
best store in the town.,Breakout,best store in the town
Amazing staff. Amazing clothing.,Breakout,amazing staff amazing clothing
Good quality of shirts and garments and also economical than other brands.,Breakout,good quality of shirts and garments and also economical than other brands
Good place for ladies and gents stitch cloths,Breakout,good place for ladies and gents stitch cloths
A great brand with reasonable price with good quality,Breakout,a great brand with reasonable price with good quality
"I had visited the outlet a weak before sale, suppose if a shirt was of 1000 than is now @ 800 & sale tag claiming 30% off... Does that make some sense???",Breakout,i had visited the outlet a weak before sale suppose if a shirt was of than is now sale tag claiming off does that make some sense
Nice Place for shopping,Breakout,nice place for shopping
Not much variety of jeans,Breakout,not much variety of jeans
Fevourite brand,Breakout,fevourite brand
Do shopping and save,Breakout,do shopping and save
Nice,Breakout,nice
Good shop,Breakout,good shop
Good,Breakout,good
Good,Breakout,good
Good but prices are a little bit high.,Charcol,good but prices are a little bit high
GreAt place of shopping,Charcol,great place of shopping
Awesome brand.. Good Quality,Charcol,awesome brand good quality
"Love to visit charcoal outlet
Quality is always according to expectation",Charcol,love to visit charcoal outlet quality is always according to expectation
Very High prices. Just a shirt for PKR 3600.,Charcol,very high prices just a shirt for pkr
Shirt quility is v good,Charcol,shirt quility is v good
Flat off these days,Charcol,flat off these days
Limited edition,Charcol,limited edition
A great brand for formal suiting specially this branch's staff behavior is really awesome.,Charcol,a great brand for formal suiting specially this branchs staff behavior is really awesome
Products are well but some expensive,Charcol,products are well but some expensive
Less variety as compared to other Charcoal outlet but manageable. Fairly priced and cooperative staff.,Charcol,less variety as compared to other charcoal outlet but manageable fairly priced and cooperative staff
In bwp charcoal has outdated stock photography,Charcol,in bwp charcoal has outdated stock photography
"Excellent quality of fabric, stitching and design, but the prices have almost doubled as compared to last year.",Charcol,excellent quality of fabric stitching and design but the prices have almost doubled as compared to last year
gentle man place,Charcol,gentle man place
Recommended for men's wear,Charcol,recommended for mens wear
Fabric Quality is good. Nice if u r looking for formal suiting,Charcol,fabric quality is good nice if u r looking for formal suiting
It was good as there was 20%sale,Charcol,it was good as there was sale
Good quality clothing,Charcol,good quality clothing
Quality is good but prices are also higher,Charcol,quality is good but prices are also higher
Quality and good stuff,Charcol,quality and good stuff
Charcoal is very nice brand. I think little bit costly.,Charcol,charcoal is very nice brand i think little bit costly
they have good fabric garments.,Charcol,they have good fabric garments
There is no any contact number.,Charcol,there is no any contact number
Outclass,Charcol,outclass
Costly but Nice brand,Charcol,costly but nice brand
Nice for colthes,Charcol,nice for colthes
A device store,Charcol,a device store
Good but expensive clothes,Charcol,good but expensive clothes
Rates are very high.,Charcol,rates are very high
Nice formal dresses,Charcol,nice formal dresses
Nice Fabric Charcoal,Charcol,nice fabric charcoal
Nice shop,Charcol,nice shop
Nice place.,Charcol,nice place
Too expensive suits,Charcol,too expensive suits
good one,Charcol,good one
Good,Charcol,good
Men clothing,Charcol,men clothing
good,Charcol,good
Good in quality,Charcol,good in quality
Super,Charcol,super
Good quality,Charcol,good quality
Good variety,Charcol,good variety
Brand wears very costly and fine,Charcol,brand wears very costly and fine
Great,Charcol,great
An average shop,Charcol,an average shop
Clothing,Charcol,clothing
Excellent,Charcol,excellent
Good,ChenOne,good
This was amazing place.,ChenOne,this was amazing place
Good Mall...,ChenOne,good mall
It was one of my fav malls when it was growing to it's maturity,ChenOne,it was one of my fav malls when it was growing to its maturity
